FBID,female_narrow_heritability,male_narrow_heritability
FBgn0001291,0.028,0.163
FBgn0001296,0.247,0.143
FBgn0001297,0.356,0.344
FBgn0001301,0.184,0.314
FBgn0001308,0.000,0.065
FBgn0001311,0.000,0.081
FBgn0001313,0.003,0.297
FBgn0001314,0.037,0.500
FBgn0001315,0.023,0.565
FBgn0001319,0.000,0.032
FBgn0001320,0.000,0.000
FBgn0001321,0.000,0.000
FBgn0001323,0.153,0.000
FBgn0001324,0.000,0.078
FBgn0001325,0.000,0.028
FBgn0001330,0.197,0.000
FBgn0001332,0.558,0.285
FBgn0001337,0.152,0.244
FBgn0001341,0.343,0.000
FBgn0001404,0.063,0.156
FBgn0001491,0.012,0.048
FBgn0001565,0.056,0.271
FBgn0001612,0.024,0.019
FBgn0001941,0.068,0.166
FBgn0001942,0.000,0.251
FBgn0001961,0.085,0.320
FBgn0001965,0.043,0.006
FBgn0001967,0.000,0.056
FBgn0001970,0.080,0.017
FBgn0001974,0.210,0.146
FBgn0001977,0.061,0.000
FBgn0001978,0.102,0.291
FBgn0001981,0.000,0.456
FBgn0001983,0.067,0.000
FBgn0001986,0.196,0.044
FBgn0001987,0.087,0.176
FBgn0001989,0.103,0.050
FBgn0001990,0.052,0.033
FBgn0001991,0.319,0.100
FBgn0001992,0.183,0.000
FBgn0001994,0.000,0.129
FBgn0001995,0.051,0.111
FBgn0002021,0.111,0.060
FBgn0002022,0.024,0.093
FBgn0002023,0.000,0.078
FBgn0002031,0.119,0.182
FBgn0002036,0.146,0.308
FBgn0002044,0.074,0.116
FBgn0002069,0.127,0.066
FBgn0002121,0.624,0.271
FBgn0002174,0.310,0.333
FBgn0002183,0.019,0.087
FBgn0002283,0.173,0.118
FBgn0002284,0.000,0.058
FBgn0002306,0.121,0.258
FBgn0002354,0.106,0.004
FBgn0002413,0.035,0.071
FBgn0002431,0.007,0.174
FBgn0002440,0.041,0.033
FBgn0002441,0.085,0.093
FBgn0002466,0.164,0.106
FBgn0002521,0.138,0.034
FBgn0002522,0.137,0.000
FBgn0002524,0.177,0.073
FBgn0002525,0.166,0.239
FBgn0002526,0.401,0.550
FBgn0002528,0.415,0.287
FBgn0002531,0.073,0.094
FBgn0002533,0.022,0.000
FBgn0002534,0.000,0.004
FBgn0002535,0.000,0.089
FBgn0002542,0.213,0.237
FBgn0002543,0.109,0.076
FBgn0002552,0.093,0.000
FBgn0002561,0.068,0.147
FBgn0002562,0.365,0.276
FBgn0002563,0.787,0.755
FBgn0002564,0.493,0.578
FBgn0002565,0.702,0.677
FBgn0002566,0.192,0.349
FBgn0002567,0.121,0.165
FBgn0002569,0.315,0.364
FBgn0002570,0.448,0.340
FBgn0002571,0.187,0.318
FBgn0002573,0.000,0.000
FBgn0002576,0.018,0.000
FBgn0002577,0.000,0.077
FBgn0002578,0.110,0.190
FBgn0002579,0.000,0.083
FBgn0002590,0.000,0.000
FBgn0002592,0.000,0.000
FBgn0002593,0.055,0.050
FBgn0002607,0.000,0.012
FBgn0002609,0.314,0.000
FBgn0002622,0.052,0.197
FBgn0002626,0.061,0.187
FBgn0002629,0.000,0.185
FBgn0002631,0.000,0.000
FBgn0002632,0.000,0.009
FBgn0002633,0.085,0.000
FBgn0002638,0.102,0.165
FBgn0002641,0.149,0.157
FBgn0002643,0.102,0.013
FBgn0002645,0.817,0.730
FBgn0002652,0.298,0.389
FBgn0002673,0.213,0.305
FBgn0002707,0.212,0.262
FBgn0002715,0.229,0.383
FBgn0002716,0.045,0.010
FBgn0002719,0.344,0.390
FBgn0002723,0.182,0.025
FBgn0002732,0.000,0.000
FBgn0002733,0.107,0.000
FBgn0002734,0.000,0.000
FBgn0002735,0.000,0.000
FBgn0002736,0.151,0.006
FBgn0002772,0.382,0.186
FBgn0002773,0.469,0.244
FBgn0002774,0.020,0.057
FBgn0002775,0.099,0.087
FBgn0002778,0.275,0.065
FBgn0002780,0.255,0.000
FBgn0002781,0.081,0.042
FBgn0002783,0.076,0.000
FBgn0002787,0.167,0.141
FBgn0002789,0.345,0.319
FBgn0002791,0.164,0.133
FBgn0002838,0.000,0.000
FBgn0002842,0.114,0.087
FBgn0002855,0.029,0.468
FBgn0002856,0.000,0.114
FBgn0002862,0.047,0.013
FBgn0002863,0.000,0.213
FBgn0002865,0.000,0.266
FBgn0002868,0.431,0.467
FBgn0002869,0.132,0.145
FBgn0002872,0.309,0.076
FBgn0002873,0.195,0.630
FBgn0002878,0.137,0.033
FBgn0002887,0.263,0.305
FBgn0002891,0.156,0.160
FBgn0002899,0.241,0.000
FBgn0002901,0.209,0.170
FBgn0002905,0.497,0.705
FBgn0002906,0.247,0.575
FBgn0002909,0.179,0.431
FBgn0002914,0.000,0.164
FBgn0002917,0.109,0.000
FBgn0002921,0.069,0.116
FBgn0002922,0.000,0.108
FBgn0002924,0.104,0.179
FBgn0002926,0.462,0.023
FBgn0002930,0.264,0.310
FBgn0002931,0.390,0.403
FBgn0002932,0.192,0.000
FBgn0002933,0.000,0.075
FBgn0002936,0.164,0.183
FBgn0002937,0.087,0.083
FBgn0002938,0.128,0.000
FBgn0002939,0.606,0.578
FBgn0002940,0.130,0.000
FBgn0002941,0.000,0.000
FBgn0002945,0.012,0.115
FBgn0002948,0.235,0.000
FBgn0002962,0.236,0.000
FBgn0002973,0.165,0.143
FBgn0002985,0.084,0.118
FBgn0002989,0.015,0.000
FBgn0003002,0.000,0.100
FBgn0003008,0.199,0.193
FBgn0003009,0.062,0.046
FBgn0003011,0.019,0.041
FBgn0003015,0.240,0.000
FBgn0003016,0.287,0.269
FBgn0003022,0.274,0.000
FBgn0003023,0.168,0.000
FBgn0003028,0.175,0.000
FBgn0003034,0.000,0.547
FBgn0003041,0.254,0.309
FBgn0003042,0.122,0.016
FBgn0003044,0.129,0.182
FBgn0003046,0.066,0.015
FBgn0003048,0.037,0.013
FBgn0003053,0.173,0.134
FBgn0003057,0.000,0.042
FBgn0003060,0.000,0.056
FBgn0003062,0.179,0.023
FBgn0003065,0.000,0.138
FBgn0003067,0.543,0.627
FBgn0003068,0.011,0.035
FBgn0003071,0.365,0.346
FBgn0003074,0.215,0.232
FBgn0003076,0.306,0.357
FBgn0003079,0.052,0.000
FBgn0003082,0.570,0.590
FBgn0003086,0.000,0.005
FBgn0003087,0.448,0.145
FBgn0003089,0.000,0.000
FBgn0003090,0.000,0.108
FBgn0003091,0.077,0.000
FBgn0003093,0.260,0.047
FBgn0003114,0.018,0.000
FBgn0003116,0.087,0.000
FBgn0003117,0.028,0.038
FBgn0003118,0.016,0.000
FBgn0003124,0.247,0.328
FBgn0003129,0.000,0.000
FBgn0003130,0.000,0.115
FBgn0003132,0.000,0.129
FBgn0003134,0.100,0.424
FBgn0003137,0.406,0.430
FBgn0003138,0.118,0.218
FBgn0003139,0.037,0.005
FBgn0003140,0.000,0.140
FBgn0003141,0.011,0.111
FBgn0003145,0.000,0.051
FBgn0003159,0.330,0.252
FBgn0003162,0.361,0.334
FBgn0003165,0.039,0.019
FBgn0003169,0.000,0.000
FBgn0003174,0.117,0.012
FBgn0003175,0.000,0.040
FBgn0003178,0.181,0.284
FBgn0003187,0.184,0.208
FBgn0003189,0.378,0.223
FBgn0003204,0.204,0.276
FBgn0003205,0.000,0.029
FBgn0003206,0.366,0.286
FBgn0003209,0.255,0.260
FBgn0003210,0.041,0.249
FBgn0003218,0.374,0.191
FBgn0003227,0.136,0.078
FBgn0003231,0.273,0.293
FBgn0003248,0.286,0.431
FBgn0003249,0.298,0.277
FBgn0003250,0.461,0.292
FBgn0003254,0.014,0.193
FBgn0003255,0.000,0.068
FBgn0003256,0.091,0.000
FBgn0003257,0.192,0.102
FBgn0003261,0.159,0.223
FBgn0003267,0.000,0.000
FBgn0003268,0.178,0.154
FBgn0003270,0.073,0.087
FBgn0003274,0.562,0.491
FBgn0003275,0.023,0.046
FBgn0003277,0.000,0.246
FBgn0003278,0.367,0.107
FBgn0003279,0.000,0.134
FBgn0003285,0.779,0.020
FBgn0003292,0.335,0.114
FBgn0003295,0.135,0.052
FBgn0003300,0.020,0.081
FBgn0003301,0.350,0.228
FBgn0003302,0.052,0.354
FBgn0003308,0.224,0.310
FBgn0003310,0.114,0.160
FBgn0003312,0.078,0.000
FBgn0003313,0.000,0.036
FBgn0003317,0.085,0.069
FBgn0003319,0.027,0.000
FBgn0003321,0.024,0.104
FBgn0003326,0.000,0.000
FBgn0003328,0.222,0.237
FBgn0003330,0.102,0.058
FBgn0003334,0.049,0.079
FBgn0003339,0.072,0.095
FBgn0003345,0.174,0.000
FBgn0003346,0.251,0.521
FBgn0003353,0.163,0.076
FBgn0003357,0.504,0.628
FBgn0003358,0.296,0.365
FBgn0003360,0.209,0.211
FBgn0003366,0.208,0.166
FBgn0003371,0.031,0.144
FBgn0003372,0.010,0.123
FBgn0003373,0.051,0.000
FBgn0003374,0.038,0.004
FBgn0003375,0.000,0.000
FBgn0003377,0.000,0.000
FBgn0003378,0.000,0.000
FBgn0003382,0.000,0.062
FBgn0003386,0.000,0.000
FBgn0003388,0.043,0.043
FBgn0003390,0.199,0.148
FBgn0003391,0.065,0.139
FBgn0003392,0.010,0.069
FBgn0003396,0.250,0.259
FBgn0003401,0.187,0.024
FBgn0003410,0.345,0.000
FBgn0003411,0.180,0.030
FBgn0003415,0.043,0.099
FBgn0003416,0.118,0.648
FBgn0003423,0.239,0.226
FBgn0003429,0.000,0.005
FBgn0003430,0.002,0.000
FBgn0003435,0.251,0.358
FBgn0003444,0.152,0.135
FBgn0003447,0.150,0.219
FBgn0003448,0.000,0.027
FBgn0003449,0.056,0.082
FBgn0003450,0.000,0.070
FBgn0003459,0.182,0.000
FBgn0003460,0.101,0.069
FBgn0003462,0.000,0.092
FBgn0003463,0.319,0.267
FBgn0003464,0.018,0.021
FBgn0003479,0.133,0.075
FBgn0003480,0.102,0.007
FBgn0003482,0.139,0.000
FBgn0003483,0.252,0.043
FBgn0003486,0.055,0.000
FBgn0003495,0.145,0.074
FBgn0003499,0.024,0.000
