"block","line","early.male.rival","early.male.focal","late.male.rival","late.male.focal","num.GFP.males","vial"
"B1","line_352",16,34,20,46,9,"M_352_B1_2"
"B1","line_352",3,18,47,116,14,"M_352_B1_3"
"B1","line_352",6,43,83,5,9,"M_352_B1_4"
"B1","line_352",9,59,64,8,11,"M_352_B1_5"
"B1","line_352",2,57,94,20,10,"M_352_B1_6"
"B1","line_703",18,51,84,2,9,"M_703_B1_1"
"B1","line_703",56,39,58,6,13,"M_703_B1_2"
"B1","line_703",33,70,7,0,12,"M_703_B1_3"
"B1","line_703",87,64,50,0,9,"M_703_B1_4"
"B1","line_703",45,33,40,8,12,"M_703_B1_5"
"B1","line_703",44,11,43,15,13,"M_703_B1_6"
"B1","line_732",0,87,20,82,12,"M_732_B1_1"
"B1","line_732",37,138,28,79,12,"M_732_B1_2"
"B1","line_732",14,110,2,28,11,"M_732_B1_3"
"B1","line_732",3,194,60,53,12,"M_732_B1_4"
"B1","line_732",9,87,22,30,10,"M_732_B1_5"
"B1","line_732",5,228,37,9,13,"M_732_B1_6"
"B1","line_765",36,160,64,0,5,"M_765_B1_1"
"B1","line_765",76,131,60,13,8,"M_765_B1_2"
"B1","line_765",3,53,11,0,9,"M_765_B1_3"
"B1","line_765",35,21,41,0,10,"M_765_B1_4"
"B1","line_765",16,142,1,0,4,"M_765_B1_5"
"B1","line_765",93,60,43,12,9,"M_765_B1_6"
"B1","line_783",9,177,37,23,13,"M_783_B1_1"
"B1","line_783",15,88,16,83,14,"M_783_B1_2"
"B1","line_783",2,127,36,55,15,"M_783_B1_3"
"B1","line_783",5,103,32,4,13,"M_783_B1_4"
"B1","line_783",261,17,83,0,12,"M_783_B1_5"
"B1","line_783",84,77,42,76,10,"M_783_B1_6"
"B1","line_787",1,126,21,93,13,"M_787_B1_1"
"B1","line_787",70,259,92,7,9,"M_787_B1_2"
"B1","line_787",61,212,20,22,9,"M_787_B1_3"
"B1","line_787",6,21,117,0,11,"M_787_B1_4"
"B1","line_787",43,174,57,0,11,"M_787_B1_5"
"B1","line_787",21,113,126,71,11,"M_787_B1_6"
"B1","line_802",22,92,28,94,7,"M_802_B1_1"
"B1","line_802",17,67,56,81,13,"M_802_B1_2"
"B1","line_802",5,19,36,106,15,"M_802_B1_3"
"B1","line_802",10,67,37,76,11,"M_802_B1_4"
"B1","line_802",7,92,56,61,11,"M_802_B1_5"
"B1","line_802",8,88,29,45,10,"M_802_B1_6"
"B1","line_808",55,105,40,57,11,"M_808_B1_1"
"B1","line_808",6,55,57,60,9,"M_808_B1_2"
"B1","line_808",46,73,58,15,14,"M_808_B1_3"
"B1","line_808",98,187,8,19,12,"M_808_B1_4"
"B1","line_808",10,12,53,90,11,"M_808_B1_5"
"B1","line_808",4,20,43,66,13,"M_808_B1_6"
"B1","line_882",4,77,4,32,12,"M_882_B1_1"
"B1","line_882",27,55,0,2,10,"M_882_B1_2"
"B1","line_882",6,115,0,0,9,"M_882_B1_3"
"B1","line_882",4,149,7,1,10,"M_882_B1_4"
"B1","line_882",143,53,9,0,7,"M_882_B1_5"
"B1","line_882",85,82,47,12,14,"M_882_B1_6"
"B2","line_352",65,94,112,97,8,"M_352_B2_1"
"B2","line_352",41,117,139,61,7,"M_352_B2_2"
"B2","line_352",89,77,81,59,6,"M_352_B2_3"
"B2","line_352",85,105,134,61,6,"M_352_B2_4"
"B2","line_352",70,103,102,55,5,"M_352_B2_5"
"B2","line_352",109,93,77,50,6,"M_352_B2_6"
"B2","line_427",200,0,50,0,5,"M_427_B2_1"
"B2","line_427",68,117,74,5,4,"M_427_B2_2"
"B2","line_427",125,40,58,54,4,"M_427_B2_3"
"B2","line_427",44,138,57,74,7,"M_427_B2_4"
"B2","line_427",74,82,96,65,5,"M_427_B2_5"
"B2","line_427",97,72,75,67,7,"M_427_B2_6"
"B2","line_513",141,55,152,36,7,"M_513_B2_1"
"B2","line_513",116,51,124,26,9,"M_513_B2_2"
"B2","line_513",99,29,142,48,4,"M_513_B2_3"
"B2","line_513",97,22,53,27,8,"M_513_B2_4"
"B2","line_513",98,72,50,0,5,"M_513_B2_5"
"B2","line_513",98,91,42,21,8,"M_513_B2_6"
"B2","line_531",44,114,69,100,6,"M_531_B2_1"
"B2","line_531",124,131,11,15,1,"M_531_B2_2"
"B2","line_531",87,124,102,69,10,"M_531_B2_3"
"B2","line_531",63,88,53,124,9,"M_531_B2_4"
"B2","line_531",63,87,74,53,9,"M_531_B2_5"
"B2","line_531",49,116,31,40,9,"M_531_B2_6"
"B2","line_584",106,79,98,15,7,"M_584_B2_1"
"B2","line_584",69,65,103,40,8,"M_584_B2_2"
"B2","line_584",54,101,88,59,4,"M_584_B2_3"
"B2","line_584",28,52,60,24,8,"M_584_B2_4"
"B2","line_584",26,112,74,16,9,"M_584_B2_5"
"B2","line_584",65,91,126,61,10,"M_584_B2_6"
"B2","line_712",17,136,88,74,8,"M_712_B2_1"
"B2","line_712",13,138,60,42,4,"M_712_B2_2"
"B2","line_712",33,112,64,60,9,"M_712_B2_3"
"B2","line_712",30,83,6,2,5,"M_712_B2_4"
"B2","line_712",26,111,25,54,7,"M_712_B2_5"
"B2","line_712",45,126,42,50,6,"M_712_B2_6"
"B2","line_716",114,70,149,41,7,"M_716_B2_1"
"B2","line_716",71,55,135,50,7,"M_716_B2_2"
"B2","line_716",91,83,91,31,8,"M_716_B2_3"
"B2","line_716",63,130,44,74,9,"M_716_B2_4"
"B2","line_716",70,110,73,63,8,"M_716_B2_5"
"B2","line_716",79,130,96,34,6,"M_716_B2_6"
"B2","line_75",174,69,66,43,7,"M_75_B2_1"
"B2","line_75",43,74,118,113,8,"M_75_B2_2"
"B2","line_75",40,90,28,83,7,"M_75_B2_3"
"B2","line_75",51,101,64,53,9,"M_75_B2_4"
"B2","line_75",73,108,50,0,3,"M_75_B2_5"
"B2","line_75",123,64,56,5,6,"M_75_B2_6"
"B2","line_757",76,118,136,18,7,"M_757_B2_1"
"B2","line_757",103,58,24,23,8,"M_757_B2_2"
"B2","line_757",150,83,98,100,8,"M_757_B2_3"
"B2","line_757",121,33,60,54,9,"M_757_B2_4"
"B2","line_757",136,40,95,59,9,"M_757_B2_5"
"B2","line_757",142,68,84,44,8,"M_757_B2_6"
"B2","line_761",90,99,53,51,4,"M_761_B2_1"
"B2","line_761",18,53,71,129,8,"M_761_B2_2"
"B2","line_761",62,102,75,109,7,"M_761_B2_3"
"B2","line_761",17,81,37,61,5,"M_761_B2_4"
"B2","line_761",NA,NA,50,0,0,"M_761_B2_5"
"B2","line_761",50,97,111,33,8,"M_761_B2_6"
"B2","line_837",0,200,50,0,2,"M_837_B2_1"
"B2","line_837",89,0,50,0,1,"M_837_B2_2"
"B2","line_837",144,53,71,53,6,"M_837_B2_3"
"B2","line_837",120,54,56,44,7,"M_837_B2_4"
"B2","line_837",107,23,100,29,6,"M_837_B2_5"
"B2","line_837",133,38,89,51,4,"M_837_B2_6"
"B2","line_843",175,72,128,31,10,"M_843_B2_1"
"B2","line_843",62,41,78,71,9,"M_843_B2_2"
"B2","line_843",117,91,70,63,6,"M_843_B2_3"
"B2","line_843",81,49,35,37,5,"M_843_B2_4"
"B2","line_843",117,57,38,37,2,"M_843_B2_5"
"B2","line_843",86,46,79,39,9,"M_843_B2_6"
"B2","line_853",67,68,174,54,8,"M_853_B2_1"
"B2","line_853",114,77,58,37,5,"M_853_B2_2"
"B2","line_853",56,112,65,100,5,"M_853_B2_3"
"B2","line_853",53,88,25,15,8,"M_853_B2_4"
"B2","line_853",103,64,61,22,9,"M_853_B2_5"
"B2","line_853",116,36,62,22,5,"M_853_B2_6"
"B2","line_879",106,53,193,74,7,"M_879_B2_1"
"B2","line_879",111,46,118,23,7,"M_879_B2_2"
"B2","line_879",176,56,52,50,6,"M_879_B2_3"
"B2","line_879",131,45,75,22,9,"M_879_B2_4"
"B2","line_879",174,86,81,64,7,"M_879_B2_5"
"B2","line_879",129,68,42,19,6,"M_879_B2_6"
"B2","line_907",92,83,137,27,10,"M_907_B2_1"
"B2","line_907",123,79,201,49,8,"M_907_B2_2"
"B2","line_907",111,75,89,63,7,"M_907_B2_3"
"B2","line_907",106,70,36,15,8,"M_907_B2_4"
"B2","line_907",91,95,83,31,7,"M_907_B2_5"
"B2","line_907",134,135,107,57,7,"M_907_B2_6"
"B2","line_913",94,108,60,88,5,"M_913_B2_1"
"B2","line_913",48,148,91,101,6,"M_913_B2_2"
"B2","line_913",101,115,19,53,8,"M_913_B2_3"
"B2","line_913",48,130,69,82,9,"M_913_B2_4"
"B2","line_913",26,148,65,66,7,"M_913_B2_5"
"B2","line_913",32,108,38,38,10,"M_913_B2_6"
"B3","line_303",19,64,7,5,7,"M_303_B3_1"
"B3","line_303",125,44,0,0,5,"M_303_B3_2"
"B3","line_303",50,24,14,0,9,"M_303_B3_3"
"B3","line_303",52,27,42,1,6,"M_303_B3_4"
"B3","line_303",48,36,10,1,4,"M_303_B3_5"
"B3","line_303",23,24,14,9,7,"M_303_B3_6"
"B3","line_320",37,97,1,0,4,"M_320_B3_1"
"B3","line_320",27,56,9,0,6,"M_320_B3_2"
"B3","line_320",57,95,2,0,4,"M_320_B3_3"
"B3","line_320",56,29,28,1,7,"M_320_B3_4"
"B3","line_320",30,67,0,0,4,"M_320_B3_5"
"B3","line_320",27,16,72,30,7,"M_320_B3_6"
"B3","line_352",39,40,1,0,6,"M_352_B3_1"
"B3","line_352",42,52,0,0,4,"M_352_B3_2"
