"block","line","early.male.rival","early.male.focal","num.GFP.males","num.DGRP.males","late.male.rival","late.male.focal","num.laying.F.early","female.fitness.early","num.F.late1","num.F.late2","female.fitness.late","male.fitness.early","male.fitness.late","male.fitness.total","female.fitness.total"
"C2","239",108,47,6,2,10,1,5,81,3,1,0,0.303225806451613,0.0909090909090909,0.197067448680352,40.5
"C2","239",116,37,8,2,2,0,5,114,1,0,0,0.241830065359477,0,0.120915032679739,57
"C2","239",66,35,9,5,36,1,5,84,2,1,4,0.346534653465347,0.027027027027027,0.186780840246187,44
"C2","26",94,2,6,0,100,0,5,54,4,2,0,0.0208333333333333,0,0.0104166666666667,27
"C2","26",81,28,7,0,100,0,5,90,3,1,10,0.256880733944954,0,0.128440366972477,50
"C2","26",85,83,7,0,100,0,5,56,2,1,0,0.494047619047619,0,0.24702380952381,28
"C2","26",111,20,6,0,100,0,4,53,3,3,0,0.152671755725191,0,0.0763358778625954,26.5
"C2","26",77,54,6,1,17,0,0,22,4,1,0,0.412213740458015,0,0.206106870229008,11
"C2","26",84,19,7,0,100,0,0,78,1,0,0,0.184466019417476,0,0.0922330097087379,39
"C1","280",41,86,7,5,0,0,4,10,3,3,9,0.677165354330709,NA,NA,9.5
"C1","280",54,41,9,5,33,0,5,54,4,4,26,0.431578947368421,0,0.215789473684211,40
"C1","280",52,101,8,5,95,32,5,1,5,5,29,0.660130718954248,0.251968503937008,0.456049611445628,15
"C1","280",59,70,8,3,31,5,3,51,2,2,8,0.542635658914729,0.138888888888889,0.340762273901809,29.5
"C1","280",94,47,10,3,15,13,5,35,4,4,16,0.333333333333333,0.464285714285714,0.398809523809524,25.5
"C1","280",155,87,9,5,71,11,5,36,4,4,20,0.359504132231405,0.134146341463415,0.24682523684741,28
"C2","301",57,48,8,4,90,0,5,185,3,3,15,0.457142857142857,0,0.228571428571429,100
"C2","301",7,58,7,4,42,14,5,170,5,5,0,0.892307692307692,0.25,0.571153846153846,85
"C2","301",33,54,8,2,2,0,5,195,5,5,0,0.620689655172414,0,0.310344827586207,97.5
"C2","301",25,109,9,4,16,2,4,120,4,4,3,0.813432835820896,0.111111111111111,0.462271973466003,61.5
"C2","301",35,55,9,5,22,11,5,163,4,0,0,0.611111111111111,0.333333333333333,0.472222222222222,81.5
"C2","301",32,80,8,4,74,52,5,151,4,3,0,0.714285714285714,0.412698412698413,0.563492063492063,75.5
"B3","303",19,64,7,5,7,5,5,67,3,3,1,0.771084337349398,0.416666666666667,0.593875502008032,34
"B3","303",125,44,5,1,0,0,5,129,5,4,8,0.260355029585799,NA,NA,68.5
"B3","303",50,24,9,5,14,0,5,66,5,5,1,0.324324324324324,0,0.162162162162162,33.5
"B3","303",52,27,6,4,42,1,5,115,5,5,10,0.341772151898734,0.0232558139534884,0.182513982926111,62.5
"B3","303",48,36,4,1,10,1,5,119,5,5,2,0.428571428571429,0.0909090909090909,0.25974025974026,60.5
"B3","303",23,24,7,4,14,9,4,93,4,2,1,0.51063829787234,0.391304347826087,0.450971322849214,47
"C2","306",101,19,5,4,90,0,4,145,4,4,0,0.158333333333333,0,0.0791666666666667,72.5
"C2","306",100,45,7,4,42,2,5,116,5,4,49,0.310344827586207,0.0454545454545455,0.177899686520376,82.5
"C2","306",101,64,7,4,2,0,5,108,5,4,0,0.387878787878788,0,0.193939393939394,54
"C2","306",141,10,7,3,16,16,5,56,5,3,0,0.0662251655629139,0.5,0.283112582781457,28
"C2","306",107,14,7,4,22,2,5,65,5,5,2,0.115702479338843,0.0833333333333333,0.0995179063360881,33.5
"C2","306",70,31,6,5,11,26,5,183,5,4,7,0.306930693069307,0.702702702702703,0.504816697886005,95
"C1","307",52,123,5,4,6,0,4,46,4,4,68,0.702857142857143,0,0.351428571428571,57
"C1","307",24,80,8,4,102,4,5,99,4,4,73,0.769230769230769,0.0377358490566038,0.403483309143687,86
"C1","307",98,123,10,4,63,12,5,50,4,4,43,0.556561085972851,0.16,0.358280542986425,46.5
"C1","307",5,91,9,4,82,6,5,53,4,4,66,0.947916666666667,0.0681818181818182,0.508049242424242,59.5
"C1","307",48,115,8,5,32,30,5,167,3,3,39,0.705521472392638,0.483870967741935,0.594696220067287,103
"C1","307",24,110,9,3,4,6,5,129,4,3,50,0.82089552238806,0.6,0.71044776119403,89.5
