block,line,early.male.rival,early.male.focal,late.male.rival,late.male.focal,num.GFP.males,num.DGRP.males
A2,491,24,57,76,108,1,4
A2,491,83,103,4,188,4,2
A2,491,0,0,4,153,3,3
A2,491,73,117,28,151,6,5
A2,491,77,83,24,182,8,4
A3,502,20,73,12,5,4,3
A3,502,58,53,23,48,5,1
A3,502,60,49,37,30,3,1
A3,502,48,57,0,0,4,1
A3,502,102,40,4,9,3,1
A3,502,86,61,12,47,2,1
C2,509,62,11,20,0,6,4
C2,509,63,45,32,2,5,3
C2,509,68,35,2,2,6,5
C2,509,47,15,89,6,8,4
C2,509,50,15,14,24,8,5
C2,509,76,31,63,27,8,3
B2,513,141,55,152,36,7,3
B2,513,116,51,124,26,9,2
B2,513,99,29,142,48,4,3
B2,513,97,22,53,27,8,4
B2,513,98,72,50,0,5,0
B2,513,98,91,42,21,8,4
B3,517,40,45,0,0,9,1
B3,517,39,42,50,0,6,0
B3,517,28,70,1,0,9,1
B3,517,62,19,50,0,8,0
B3,517,35,61,50,0,8,0
B3,517,48,30,4,0,4,1
C3,530,22,16,5,0,5,5
C3,530,9,17,50,12,5,2
C3,530,33,27,12,0,7,4
C3,530,21,18,50,0,2,0
C3,530,9,37,17,7,5,5
C3,530,17,11,7,6,8,4
B2,531,44,114,69,100,6,4
B2,531,124,131,11,15,1,1
B2,531,87,124,102,69,10,2
B2,531,63,88,53,124,9,2
B2,531,63,87,74,53,9,3
B2,531,49,116,31,40,9,5
A2,535,12,120,5,63,4,1
A2,535,10,114,0,31,2,2
A2,535,33,68,7,168,7,4
A2,535,NA,NA,84,139,2,1
A2,535,33,55,63,75,2,1
A2,535,65,32,32,23,4,4
C3,57,24,36,37,7,8,2
C3,57,29,41,11,17,3,2
C3,57,28,40,13,0,5,4
C3,57,8,14,8,34,5,1
C3,57,20,15,0,0,7,3
C3,57,17,39,8,5,6,1
B2,584,106,79,98,15,7,5
B2,584,69,65,103,40,8,4
B2,584,54,101,88,59,4,4
B2,584,28,52,60,24,8,4
B2,584,26,112,74,16,9,4
B2,584,65,91,126,61,10,4
C3,589,24,26,0,3,5,2
C3,589,39,43,8,5,5,4
C3,589,41,8,7,3,7,5
C3,589,15,32,20,18,6,4
C3,589,9,27,4,17,8,4
C3,589,16,22,19,0,6,5
A4,59,15,66,0,7,9,3
A4,59,17,31,1,16,5,3
A4,59,19,25,3,2,8,5
A4,59,7,25,9,14,8,3
A4,59,11,50,5,10,7,5
A4,59,6,20,50,0,8,0
C3,596,34,26,13,2,9,3
C3,596,22,20,25,8,9,3
C3,596,33,15,4,9,5,4
C3,596,11,22,5,0,6,2
C3,596,30,34,14,6,6,2
C3,596,15,16,8,1,8,4
B1,703,18,51,84,2,9,NA
B1,703,56,39,58,6,13,NA
B1,703,33,70,7,0,12,NA
B1,703,87,64,50,0,9,NA
B1,703,45,33,40,8,12,NA
B1,703,44,11,43,15,13,NA
A4,705,17,31,8,5,10,4
A4,705,35,41,2,2,8,3
A4,705,25,21,4,2,8,3
A4,705,19,27,0,0,4,3
A4,705,15,30,1,0,8,2
A4,705,25,27,4,2,8,3
A3,707,25,42,12,76,7,4
A3,707,39,95,18,7,4,4
A3,707,51,49,11,0,5,1
A3,707,55,25,58,12,6,3
A3,707,39,29,67,0,5,1
A3,707,48,41,34,3,5,3
B2,712,17,136,88,74,8,5
B2,712,13,138,60,42,4,2
B2,712,33,112,64,60,9,4
B2,712,30,83,6,2,5,3
B2,712,26,111,25,54,7,3
B2,712,45,126,42,50,6,2
B2,716,114,70,149,41,7,2
B2,716,71,55,135,50,7,4
B2,716,91,83,91,31,8,2
B2,716,63,130,44,74,9,3
B2,716,70,110,73,63,8,4
B2,716,79,130,96,34,6,3
B3,721,44,53,11,0,4,3
B3,721,22,31,12,0,10,1
B3,721,25,29,17,4,9,3
B3,721,24,59,12,2,6,1
B3,721,22,19,0,0,5,2
B3,721,21,22,3,0,8,3
B1,732,0,87,20,82,12,NA
B1,732,37,138,28,79,12,NA
B1,732,14,110,2,28,11,NA
B1,732,3,194,60,53,12,NA
B1,732,9,87,22,30,10,NA
B1,732,5,228,37,9,13,NA
B3,738,14,70,23,4,4,3
B3,738,13,101,1,3,3,2
B3,738,6,47,0,3,5,4
B3,738,11,34,0,2,5,3
B3,738,20,17,7,0,5,1
